record_id,source_path,original_text,candidate,confidence,extraction_source,ambiguity,alternatives,requires_review
aa38ee9cd3ad12da,ACs/Hisense/Hisense_window_AC.ir,window_AC,,0.0,,False,[],True
22ebbb0e281a873b,ACs/Hitachi/Hitach_RAK-18QH8.ir,Hitach_RAK-18QH8,Hitach_RAK-18QH8,0.45,inventory.model,False,[],True
baf645448789a790,ACs/Hitachi/Hitachi_RAK35.ir,RAK35,RAK35,0.45,inventory.model,True,"[""Hitachi_RAK35""]",True
46673c1794ad4154,ACs/Honeywell/Honeywell_MN10CESS.ir,MN10CESS,MN10CESS,0.45,inventory.model,True,"[""Honeywell_MN10CESS""]",True
b6b8599b88b74bab,ACs/Innova/Innova_2.0.ir,2.0,Innova_2.0,0.72,file_name,False,[],True
a53b8b8ff010f432,ACs/Insigna/Insigna_AC_NSRC2AC9.ir,AC_NSRC2AC9,AC_NSRC2AC9,0.45,inventory.model,True,"[""Insigna_AC_NSRC2AC9""]",True
8ab5643bc79e7312,ACs/Insigna/Insignia_NS-AC8PWH9-C_AC.ir,Insignia_NS-AC8PWH9-C_AC,Insignia_NS-AC8PWH9-C_AC,0.45,inventory.model,False,[],True
4d58476e0ab274ac,ACs/Inventum/Inventum_AC.ir,AC,,0.0,,False,[],True
fb910dc5ea74b845,ACs/Kelon/Kelon_AS-24HR4SQJUL.ir,AS-24HR4SQJUL,AS-24HR4SQJUL,0.45,inventory.model,True,"[""Kelon_AS-24HR4SQJUL""]",True
41fafedab0d4436e,ACs/Kenmore/Kenmore_AC.ir,AC,,0.0,,False,[],True
5e5ffa0ec2fb27c3,ACs/Klarstein/Klarstein_Metrobreeze_Miami.ir,Metrobreeze_Miami,,0.0,,False,[],True
63eea2fb7cff222e,ACs/Klarstein/Klarstein_Skyscraper.ir,Skyscraper,,0.0,,False,[],True
12866548cb74b12a,ACs/Koldfront/Koldfront_WAC12001.ir,WAC12001,WAC12001,0.45,inventory.model,True,"[""Koldfront_WAC12001""]",True
f7b958000d5b353a,ACs/LG/LG_AC.ir,AC,,0.0,,False,[],True
642b0519ed003ddd,ACs/LG/LG_AC_2.ir,AC_2,AC_2,0.45,inventory.model,True,"[""LG_AC_2""]",True
4bbd81f3f1d0d690,ACs/LG/LG_COV30332906_AC.ir,COV30332906_AC,COV30332906_AC,0.45,inventory.model,True,"[""LG_COV30332906_AC""]",True
57baf76600c110ef,ACs/LG/LG_LP0817WSR.ir,LP0817WSR,LP0817WSR,0.45,inventory.model,True,"[""LG_LP0817WSR""]",True
6c4272ad57813d2e,ACs/LG/LG_LP1015WNR_AC.ir,LP1015WNR_AC,LP1015WNR_AC,0.45,inventory.model,True,"[""LG_LP1015WNR_AC""]",True
96e293aa9ab0bd10,ACs/LG/LG_LP1417GSR_AC.ir,LP1417GSR_AC,LP1417GSR_AC,0.45,inventory.model,True,"[""LG_LP1417GSR_AC""]",True
d31863e4c58a1d5e,ACs/LG/LG_LP1419IVSM.ir,LP1419IVSM,LP1419IVSM,0.45,inventory.model,True,"[""LG_LP1419IVSM""]",True
c8ea3ebab3e569c7,ACs/LG/LG_R12AWN-NB11.ir,R12AWN-NB11,R12AWN-NB11,0.45,inventory.model,True,"[""LG_R12AWN-NB11""]",True
4536736038808a74,ACs/LG/LG_SX122CL.ir,SX122CL,SX122CL,0.45,inventory.model,True,"[""LG_SX122CL""]",True
c4081fc094d38b5a,ACs/Lamborghini/Unknown_Model_1.ir,Unknown_Model_1,Unknown_Model_1,0.45,inventory.model,False,[],True
47dd429e690decff,ACs/Legion/Legion_LE-F30RH-IN.ir,LE-F30RH-IN,LE-F30RH-IN,0.45,inventory.model,True,"[""Legion_LE-F30RH-IN""]",True
3d7c9083438f53aa,ACs/Lennox/Lennox_AC.ir,AC,,0.0,,False,[],True
e3dfd7840f736fd0,ACs/Lifetime Air/Lifetime_Air.ir,Lifetime_Air,,0.0,,False,[],True
e07110285382ab91,ACs/Logik/Logik_HLF-20R.ir,HLF-20R,HLF-20R,0.45,inventory.model,True,"[""Logik_HLF-20R""]",True
922013e18b7cdb0b,ACs/MayTag/MayTag_M6X06F2A.ir,M6X06F2A,M6X06F2A,0.45,inventory.model,True,"[""MayTag_M6X06F2A""]",True
629c8ef890bf9390,ACs/Midea/Midea_AC_MAW05R1WBL.ir,AC_MAW05R1WBL,AC_MAW05R1WBL,0.45,inventory.model,True,"[""Midea_AC_MAW05R1WBL""]",True
1b6cad9ea061a0f4,ACs/Midea/Midea_MP12SVKBA3RCM.ir,MP12SVKBA3RCM,MP12SVKBA3RCM,0.45,inventory.model,True,"[""Midea_MP12SVKBA3RCM""]",True
fb4920987e6e0880,ACs/Midea/Midea_WWK08CR81N.ir,WWK08CR81N,WWK08CR81N,0.45,inventory.model,True,"[""Midea_WWK08CR81N""]",True
2ba0eb55774dc004,ACs/Midea/Midea_silent_cool_26_pro.ir,silent_cool_26_pro,silent_cool_26_pro,0.45,inventory.model,True,"[""Midea_silent_cool_26_pro""]",True
dc9f8dea96812de8,ACs/Mitsubishi/Mitsubishi_MSH-30RV.ir,MSH-30RV,MSH-30RV,0.45,inventory.model,True,"[""Mitsubishi_MSH-30RV""]",True
2da19c4d9939845e,ACs/Mitsubishi/Mitsubishi_MSH_GA71VB.ir,MSH_GA71VB,MSH_GA71VB,0.45,inventory.model,True,"[""Mitsubishi_MSH_GA71VB""]",True
696a2ac15c0d8a8f,ACs/Mitsubishi/Mitsubishi_SRK20ZJ-S.ir,SRK20ZJ-S,SRK20ZJ-S,0.45,inventory.model,True,"[""Mitsubishi_SRK20ZJ-S""]",True
77510de9a09896e2,ACs/Mitsubishi/Mitsubishi_SRK35ZS-W.ir,SRK35ZS-W,SRK35ZS-W,0.45,inventory.model,True,"[""Mitsubishi_SRK35ZS-W""]",True
9e072218b52c88df,ACs/Mitsubishi/mitsubishi-MSY-GE10VA.ir,mitsubishi-MSY-GE10VA,mitsubishi-MSY-GE10VA,0.45,inventory.model,False,[],True
1817dacf4b5fd2d4,ACs/Moretti/Moretti_Air_Cooler.ir,Air_Cooler,,0.0,,False,[],True
c3f13b4820817137,ACs/OK/Ok_AC_OAC_7020.ir,Ok_AC_OAC_7020,Ok_AC_OAC_7020,0.45,inventory.model,False,[],True
aa07c2a4f6d7086d,ACs/Oreck/Oreck_AIR12GU.ir,AIR12GU,AIR12GU,0.45,inventory.model,True,"[""Oreck_AIR12GU""]",True
40e8a1194f6ed613,ACs/Osaka/Osaka_CH_09_DSBP.ir,CH_09_DSBP,CH_09_DSBP,0.45,inventory.model,True,"[""Osaka_CH_09_DSBP""]",True
bac2e8db41337334,ACs/Panasonic/Panasonic_A75C4187.ir,A75C4187,A75C4187,0.45,inventory.model,True,"[""Panasonic_A75C4187""]",True
59458929b05d3564,ACs/Panasonic/Panasonic_CS-E9HKR.ir,CS-E9HKR,CS-E9HKR,0.45,inventory.model,True,"[""Panasonic_CS-E9HKR""]",True
3efb64332132fbd4,ACs/Panasonic/Panasonic_CS-UE12RKE.ir,CS-UE12RKE,CS-UE12RKE,0.45,inventory.model,True,"[""Panasonic_CS-UE12RKE""]",True
3a2d049c75ff85fe,ACs/Panasonic/Panasonic_CWA75C4179.ir,CWA75C4179,CWA75C4179,0.45,inventory.model,True,"[""Panasonic_CWA75C4179""]",True
5d7d191432fb3f8b,ACs/Panasonic/Panasonic_Climate_A75C2600.ir,Climate_A75C2600,Climate_A75C2600,0.45,inventory.model,True,"[""Panasonic_Climate_A75C2600""]",True
25969cfbec993547,ACs/Pioneer/PioneerMiniSplit.ir,PioneerMiniSplit,,0.0,,False,[],True
0fbde2815d061628,ACs/Princess/Princess_AC.ir,AC,,0.0,,False,[],True
8927e5be295ad5c0,ACs/Remko/Remko_RKL.ir,RKL,,0.0,,False,[],True
2f48603a0b28d857,ACs/Rinnai/Rinnai_AC.ir,AC,,0.0,,False,[],True
094f31b2ce09a509,ACs/Royal_Clima/Royal_Clima_RC-TWN55HN.ir,RC-TWN55HN,RC-TWN55HN,0.45,inventory.model,True,"[""Royal_Clima_RC-TWN55HN""]",True
30a61c5e9b63dfd9,ACs/Samsung/Samsung_AC_AR12K.ir,AC_AR12K,AC_AR12K,0.45,inventory.model,True,"[""Samsung_AC_AR12K""]",True
e14e24b2b3461cc0,ACs/Samsung/Samsung_AR13TYHZCWKN.ir,AR13TYHZCWKN,AR13TYHZCWKN,0.45,inventory.model,True,"[""Samsung_AR13TYHZCWKN""]",True
3895e8eb1e3767f0,ACs/Samsung/Samsung_Wind-Free.ir,Wind-Free,,0.0,,False,[],True
6e54fc55f8eb1f20,ACs/SereneLife/SereneLife_SLPAC8.ir,SLPAC8,SLPAC8,0.45,inventory.model,True,"[""SereneLife_SLPAC8""]",True
e69dc481c65df499,ACs/Sharp/Sharp AH-A9UCD.ir,Sharp AH-A9UCD,AH-A9UCD,0.45,inventory.model,False,[],True
c0d908cc05b831b6,ACs/Sharp/Sharp_AH_X9VEW_AC.ir,AH_X9VEW_AC,AH_X9VEW_AC,0.45,inventory.model,True,"[""Sharp_AH_X9VEW_AC""]",True
af856cec05157c3b,ACs/Sharp/Sharp_CVP10MX.ir,CVP10MX,CVP10MX,0.45,inventory.model,True,"[""Sharp_CVP10MX""]",True
5161d3f88cb3a20e,ACs/Shivaki/Shivaki_SSA18002.ir,SSA18002,SSA18002,0.45,inventory.model,True,"[""Shivaki_SSA18002""]",True
110eae7ad3c2cddb,ACs/Sinclair/SINCLAIR_ASH13BIF2.ir,ASH13BIF2,ASH13BIF2,0.45,inventory.model,True,"[""SINCLAIR_ASH13BIF2""]",True
289fe845768ace37,ACs/SoleusAir/SoleusAir.ir,SoleusAir,,0.0,,False,[],True
4b7b633867118f65,ACs/SoleusAir/SoleusAir_Portable.ir,Portable,,0.0,,False,[],True
b42e6d1425589dc0,ACs/Subtropic/Subtropic_in-07HN1.ir,in-07HN1,in-07HN1,0.45,inventory.model,True,"[""Subtropic_in-07HN1""]",True
bfde23c582e3ff8e,ACs/SuedwindAmbientika/Suedwind.ir,Suedwind,,0.0,,False,[],True
744e8fbe5c301115,ACs/Suntec/Suntec_Transform_AC.ir,Transform_AC,,0.0,,False,[],True
bf6a8450c7d84e39,ACs/TCL/Tcl.ir,Tcl,,0.0,,False,[],True
