original,canonical_name,confidence,rule,reasons,ambiguity,requires_review
*__TV,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
+,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
+ CH DISC,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
+ D Zoom,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
+ Volume,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
+ temp,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
+++,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
+-,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
+/-,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
+/--,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
+/-5dB,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
+/FF,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
+/FF-E,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
+/FF-O,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
+/Up,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
+10,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
+10 (raw),,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
+10 SHIFT,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
+10 VCR-2,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
+10/+100,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
+10/100,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
+10/DISPLAY,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
+10/ENTER,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
+10/NIGHT,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
+100,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
+10B,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
+10_(CD),,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
+10_+100,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
+10_/_DISPLAY,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
+10_10_D.Tun Dimmer,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
+10_DISC,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
+10_DVD,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
+10_NIGHT,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
+10_SEARCH,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
+10_TRACK,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
+10_TRACK_NUMBER,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
+1DISC,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
+1_DISC,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
+20,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
+30,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
+5DB,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
+60s,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
+A,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
+Brightness,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
+CH,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
+Contrast,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
+P,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
+Sharpness,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
+Ten,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
+V,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
+VOL,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
+_(ON_SCREEN_MGR),,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
+_(PLUS),,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
+_(SCAN/TUNE)_T0,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
+_(SCAN/TUNE)_T1,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
+_10,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
+_100,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
+_A,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
+_B,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
+_DISC,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
+_HORIZONTAL,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
