path,expected_classification,predicted_classification,predicted_confidence,reference_rule_id,reference_evidence,matched,review_reason
ACs/Hisense/Hisense_DG11J1-99_fahrenheit.ir,specific_device,device_family,0.62,specific.brand_model_filename.v1,"{""brand_segment"": ""Hisense"", ""category_segment"": ""ACs"", ""commercial_model"": ""DG11J1-99_fahrenheit"", ""filename"": ""Hisense_DG11J1-99_fahrenheit""}",False,predição diverge da regra silver
ACs/Hitachi/Hitachi_RAK35.ir,specific_device,device_family,0.62,specific.brand_model_filename.v1,"{""brand_segment"": ""Hitachi"", ""category_segment"": ""ACs"", ""commercial_model"": ""RAK35"", ""filename"": ""Hitachi_RAK35""}",False,predição diverge da regra silver
ACs/Honeywell/Honeywell_MN10CESS.ir,specific_device,device_family,0.67,specific.brand_model_filename.v1,"{""brand_segment"": ""Honeywell"", ""category_segment"": ""ACs"", ""commercial_model"": ""MN10CESS"", ""filename"": ""Honeywell_MN10CESS""}",False,predição diverge da regra silver
ACs/Insigna/Insigna_AC_NSRC2AC9.ir,specific_device,device_family,0.67,specific.brand_model_filename.v1,"{""brand_segment"": ""Insigna"", ""category_segment"": ""ACs"", ""commercial_model"": ""AC_NSRC2AC9"", ""filename"": ""Insigna_AC_NSRC2AC9""}",False,predição diverge da regra silver
ACs/Koldfront/Koldfront_WAC12001.ir,specific_device,device_family,0.67,specific.brand_model_filename.v1,"{""brand_segment"": ""Koldfront"", ""category_segment"": ""ACs"", ""commercial_model"": ""WAC12001"", ""filename"": ""Koldfront_WAC12001""}",False,predição diverge da regra silver
ACs/LG/LG_AC_2.ir,specific_device,device_family,0.62,specific.brand_model_filename.v1,"{""brand_segment"": ""LG"", ""category_segment"": ""ACs"", ""commercial_model"": ""AC_2"", ""filename"": ""LG_AC_2""}",False,predição diverge da regra silver
ACs/LG/LG_COV30332906_AC.ir,specific_device,device_family,0.67,specific.brand_model_filename.v1,"{""brand_segment"": ""LG"", ""category_segment"": ""ACs"", ""commercial_model"": ""COV30332906_AC"", ""filename"": ""LG_COV30332906_AC""}",False,predição diverge da regra silver
ACs/LG/LG_LP0817WSR.ir,specific_device,device_family,0.62,specific.brand_model_filename.v1,"{""brand_segment"": ""LG"", ""category_segment"": ""ACs"", ""commercial_model"": ""LP0817WSR"", ""filename"": ""LG_LP0817WSR""}",False,predição diverge da regra silver
ACs/LG/LG_LP1015WNR_AC.ir,specific_device,device_family,0.67,specific.brand_model_filename.v1,"{""brand_segment"": ""LG"", ""category_segment"": ""ACs"", ""commercial_model"": ""LP1015WNR_AC"", ""filename"": ""LG_LP1015WNR_AC""}",False,predição diverge da regra silver
ACs/LG/LG_LP1417GSR_AC.ir,specific_device,device_family,0.62,specific.brand_model_filename.v1,"{""brand_segment"": ""LG"", ""category_segment"": ""ACs"", ""commercial_model"": ""LP1417GSR_AC"", ""filename"": ""LG_LP1417GSR_AC""}",False,predição diverge da regra silver
ACs/LG/LG_LP1419IVSM.ir,specific_device,device_family,0.62,specific.brand_model_filename.v1,"{""brand_segment"": ""LG"", ""category_segment"": ""ACs"", ""commercial_model"": ""LP1419IVSM"", ""filename"": ""LG_LP1419IVSM""}",False,predição diverge da regra silver
ACs/LG/LG_R12AWN-NB11.ir,specific_device,device_family,0.62,specific.brand_model_filename.v1,"{""brand_segment"": ""LG"", ""category_segment"": ""ACs"", ""commercial_model"": ""R12AWN-NB11"", ""filename"": ""LG_R12AWN-NB11""}",False,predição diverge da regra silver
ACs/LG/LG_SX122CL.ir,specific_device,device_family,0.62,specific.brand_model_filename.v1,"{""brand_segment"": ""LG"", ""category_segment"": ""ACs"", ""commercial_model"": ""SX122CL"", ""filename"": ""LG_SX122CL""}",False,predição diverge da regra silver
ACs/Logik/Logik_HLF-20R.ir,specific_device,device_family,0.62,specific.brand_model_filename.v1,"{""brand_segment"": ""Logik"", ""category_segment"": ""ACs"", ""commercial_model"": ""HLF-20R"", ""filename"": ""Logik_HLF-20R""}",False,predição diverge da regra silver
ACs/MayTag/MayTag_M6X06F2A.ir,specific_device,device_family,0.67,specific.brand_model_filename.v1,"{""brand_segment"": ""MayTag"", ""category_segment"": ""ACs"", ""commercial_model"": ""M6X06F2A"", ""filename"": ""MayTag_M6X06F2A""}",False,predição diverge da regra silver
ACs/Midea/Midea_AC_MAW05R1WBL.ir,specific_device,device_family,0.62,specific.brand_model_filename.v1,"{""brand_segment"": ""Midea"", ""category_segment"": ""ACs"", ""commercial_model"": ""AC_MAW05R1WBL"", ""filename"": ""Midea_AC_MAW05R1WBL""}",False,predição diverge da regra silver
ACs/Midea/Midea_MP12SVKBA3RCM.ir,specific_device,device_family,0.67,specific.brand_model_filename.v1,"{""brand_segment"": ""Midea"", ""category_segment"": ""ACs"", ""commercial_model"": ""MP12SVKBA3RCM"", ""filename"": ""Midea_MP12SVKBA3RCM""}",False,predição diverge da regra silver
