record_id,path,filename,original_category,original_brand,suggested_model,signal_count,command_names,protocols,addresses,current_classification,current_confidence,current_reasons,possible_problems,selection_reasons
6d6e0e475f7efe74,ACs/Daikin/Daikin_ARC480A41.ir,Daikin_ARC480A41.ir,ACs,Daikin,ARC480A41,19,"[""OFF"", ""COOL"", ""HEAT"", ""DRY"", ""AUTO"", ""FAN_ONLY"", ""TEMP+"", ""TEMP-"", ""POWERFUL"", ""COMFORT"", ""FAN"", ""SWING"", ""QUIET"", ""SLEEP"", ""ECONOMY"", ""MOLD PROOF"", ""TIMER ON"", ""TIMER OFF"", ""TIMER CANCEL""]",[],[],specific_device,0.72,"[""modelo identificável e conjunto coerente""]","[""modelo de baixa confiança foi tratado como evidência estrutural"", ""nomes de comandos reais não chegaram ao classificador""]","[""50 registros com conflitos ou problemas"", ""50 specific_device determinísticos""]"
44078eb35f6e834e,ACs/Daikin/Daikin_ARC480A53.ir,Daikin_ARC480A53.ir,ACs,Daikin,ARC480A53,17,"[""Off"", ""AUTO"", ""COOL"", ""DRY"", ""HEAT"", ""FAN_ONLY"", ""TEMP+"", ""TEMP-"", ""FAN"", ""ECONOMY"", ""COMFORT"", ""POWERFUL"", ""SWING_VERTICAL"", ""SWING_HORIZONTAL"", ""TIMER_ON"", ""TIMER_OFF"", ""TIMER_CANCEL""]",[],[],specific_device,0.72,"[""modelo identificável e conjunto coerente""]","[""modelo de baixa confiança foi tratado como evidência estrutural"", ""nomes de comandos reais não chegaram ao classificador""]","[""50 registros com conflitos ou problemas"", ""50 specific_device determinísticos""]"
08cf23c063994c51,ACs/Daikin/Daikin_FTE35KV1.ir,Daikin_FTE35KV1.ir,ACs,Daikin,FTE35KV1,5,"[""POWER"", ""MODE"", ""SWING"", ""TEMP-"", ""TEMP+""]",[],[],specific_device,0.72,"[""modelo identificável e conjunto coerente""]","[""modelo de baixa confiança foi tratado como evidência estrutural"", ""nomes de comandos reais não chegaram ao classificador""]","[""50 registros com conflitos ou problemas"", ""50 specific_device determinísticos""]"
dd25a57371568593,ACs/Daikin/Daikin_FTX50GV1B.ir,Daikin_FTX50GV1B.ir,ACs,Daikin,FTX50GV1B,4,"[""Power"", ""Temp_up"", ""Temp_down"", ""Fan""]",[],[],specific_device,0.72,"[""modelo identificável e conjunto coerente""]","[""modelo de baixa confiança foi tratado como evidência estrutural"", ""nomes de comandos reais não chegaram ao classificador""]","[""50 registros com conflitos ou problemas"", ""50 specific_device determinísticos""]"
0cbee01570ad3c1f,ACs/Daikin/Daikin_FTXM95PVMA.ir,Daikin_FTXM95PVMA.ir,ACs,Daikin,FTXM95PVMA,14,"[""Power"", ""Fan"", ""Powerful"", ""Temp+"", ""Temp-"", ""Mode"", ""Econo"", ""Quiet"", ""ShortSwing"", ""WideSwing"", ""Comfort"", ""Sensor"", ""Cancel"", ""Off?""]",[],[],specific_device,0.72,"[""modelo identificável e conjunto coerente""]","[""modelo de baixa confiança foi tratado como evidência estrutural"", ""nomes de comandos reais não chegaram ao classificador""]","[""50 registros com conflitos ou problemas"", ""50 specific_device determinísticos""]"
0957f385f71df38a,ACs/Daikin/Daikin_FTXS25KVMA.ir,Daikin_FTXS25KVMA.ir,ACs,Daikin,FTXS25KVMA,13,"[""Power"", ""Fan"", ""Powerful"", ""Temp+"", ""Temp-"", ""Cancel"", ""SwingWide"", ""SwingNarrow"", ""Quiet"", ""Mode"", ""Sensor"", ""Comfort"", ""Off?""]",[],[],specific_device,0.72,"[""modelo identificável e conjunto coerente""]","[""modelo de baixa confiança foi tratado como evidência estrutural"", ""nomes de comandos reais não chegaram ao classificador""]","[""50 registros com conflitos ou problemas"", ""50 specific_device determinísticos""]"
8e581b2eeb626594,ACs/Danby/Danby DAC060EB7WDB.ir,Danby DAC060EB7WDB.ir,ACs,Danby,Danby DAC060EB7WDB,4,"[""Off"", ""Dh"", ""Cool_hi"", ""Cool_lo""]",[],[],specific_device,0.72,"[""modelo identificável e conjunto coerente""]","[""modelo de baixa confiança foi tratado como evidência estrutural"", ""nomes de comandos reais não chegaram ao classificador""]","[""50 registros com conflitos ou problemas"", ""50 specific_device determinísticos""]"
c793c13575144868,ACs/DeLonghi/Delonghi_portable_Pinguino-Air-to-Air-PAC-N81_ac.ir,Delonghi_portable_Pinguino-Air-to-Air-PAC-N81_ac.ir,ACs,DeLonghi,Delonghi_portable_Pinguino-Air-to-Air-PAC-N81_ac,7,"[""POWER"", ""TEMP+"", ""TEMP-"", ""Fan_speed"", ""Mode"", ""Timer"", ""Celsius_farenhait""]","[""NECext""]","[""48 12 00 00"", ""48 14 00 00"", ""48 44 00 00""]",specific_device,0.72,"[""modelo identificável e conjunto coerente""]","[""modelo de baixa confiança foi tratado como evidência estrutural"", ""nomes de comandos reais não chegaram ao classificador"", ""protocolos reais não chegaram ao classificador""]","[""50 registros com conflitos ou problemas"", ""50 specific_device determinísticos""]"
19ab3ddf5c57d037,ACs/DeLonghi/Pinguino_EL290HLWKC.ir,Pinguino_EL290HLWKC.ir,ACs,DeLonghi,Pinguino_EL290HLWKC,9,"[""Power"", ""Mode"", ""Quiet_Mode"", ""Temp+"", ""Temp-"", ""Fan+"", ""Fan-"", ""Timer"", ""Fan_Angle""]","[""NEC""]","[""81 00 00 00""]",specific_device,0.72,"[""modelo identificável e conjunto coerente""]","[""modelo de baixa confiança foi tratado como evidência estrutural"", ""nomes de comandos reais não chegaram ao classificador"", ""protocolos reais não chegaram ao classificador""]","[""50 registros com conflitos ou problemas"", ""50 specific_device determinísticos""]"
771ed80bcc2c1739,ACs/DeLonghi/Pinguino_PAC_EL275HGRKC.ir,Pinguino_PAC_EL275HGRKC.ir,ACs,DeLonghi,Pinguino_PAC_EL275HGRKC,7,"[""POWER"", ""MODE"", ""TEMP+"", ""TEMP-"", ""FAN+"", ""FAN-"", ""TIMER""]","[""NEC""]","[""82 00 00 00""]",specific_device,0.72,"[""modelo identificável e conjunto coerente""]","[""modelo de baixa confiança foi tratado como evidência estrutural"", ""nomes de comandos reais não chegaram ao classificador"", ""protocolos reais não chegaram ao classificador""]","[""50 registros com conflitos ou problemas"", ""50 specific_device determinísticos""]"
