original_name,count,example_paths,canonical_name,confidence,reason,ambiguity
OK,1388,"[""Audio_and_Video_Receivers/Sony/Sony_RMT-AA400U.ir"",""Audio_and_Video_Receivers/Sony/Sony_STR-DH590.ir"",""Audio_and_Video_Receivers/Yamaha/Yamaha_ZP45780.ir"",""Blu-Ray/Panasonic/Panasonic_DMP_BD75.ir"",""Blu-Ray/Toshiba/Toshiba_SE-R0398.ir""]",ok,0.99,alias versionado corresponde a ok,False
INFO,1358,"[""Air_Purifiers/Dyson/Dyson_Purifier_Cool_Autoreact_TP7A.ir"",""Air_Purifiers/Dyson/Dyson_Purifier_Humidify+Cool_Autoreact_PH3A.ir"",""Audio_and_Video_Receivers/Sony/Sony_STR-DH590.ir"",""CD_Players/Denon/Denon_RC_1199.ir"",""Cable_Boxes/ARRIS/ARRIS_VIP_4302.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
DISPLAY,1340,"[""Audio_and_Video_Receivers/Sony/Sony_RM-AAU130_AV.ir"",""Audio_and_Video_Receivers/Sony/Sony_RMT-AA400U.ir"",""Audio_and_Video_Receivers/Sony/Sony_STR-DH590.ir"",""CD_Players/Sony/SONY_minidisk-deck.ir"",""Car_Multimedia/DVD_Players/Toyota/TOYOTA_SIENNA-2011-2014.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
EXIT,1187,"[""DVB-T/Tilview/TILVIEW_DVB-T_2.ir"",""Projectors/NEC/NEC_RU_M124.ir"",""Streaming_Devices/MAG/MAG_TV_Box.ir"",""_Converted_/CSV/A/ABS/SAT_8776/8_0.ir"",""_Converted_/CSV/A/ADB/SAT_ICAN3000/8_0.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
AUDIO,1109,"[""Cable_Boxes/EVO/EVO4.ir"",""Car_Multimedia/CD_Players/Pioneer/Pioneer_CXC2665.ir"",""DVB-T/Storex/MediaZapperHD.ir"",""DVB-T/Tilview/TILVIEW_DVB-T_2.ir"",""_Converted_/CSV/A/ABIT/DVD_WINDVD/1_-1.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
Power,1053,"[""ACs/Aldi/Easy_Home_Portable_Air_Cooler.ir"",""ACs/Arctic_King/Arctic_King_RG15B1.ir"",""ACs/Botti/Botti_BL-168DLR.ir"",""ACs/Daikin/Daikin_FTX50GV1B.ir"",""ACs/Daikin/Daikin_FTXM95PVMA.ir""]",power,0.99,alias versionado corresponde a power,False
CLEAR,1045,"[""ACs/LG/LG_LP1419IVSM.ir"",""CD_Players/Denon/Denon_RC_1199.ir"",""CD_Players/Sony/SONY_minidisk-deck.ir"",""Car_Multimedia/CD_Players/Pioneer/Pioneer_CXC2665.ir"",""DVD_Players/LG/LG_DKS-6100Q.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
RECORD,1014,"[""Cable_Boxes/ARRIS/ARRIS_VIP_2952_V2.ir"",""Cable_Boxes/EVO/EVO4.ir"",""_Converted_/CSV/A/ADS/AUDIO_Tech/0_-1.ir"",""_Converted_/CSV/A/ADS/TV_Instant/2_-1.ir"",""_Converted_/CSV/A/AIM/MCE_AIM-RC126/4_15.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
SLEEP,954,"[""ACs/COTech/COTech_MPPH-08CRN7-QB6_AC.ir"",""ACs/Daikin/Daikin_ARC480A41.ir"",""ACs/Hisense/Hisense_room_AC.ir"",""ACs/LG/LG_LP1419IVSM.ir"",""ACs/Lennox/Lennox_AC.ir""]",sleep,0.99,alias versionado corresponde a sleep,False
REW,880,"[""Audio_and_Video_Receivers/Sony/Sony_CMT-EH10.ir"",""Cable_Boxes/EVO/EVO4.ir"",""DVD_Players/Unknown_Brand/Dvd_tv_player_2.ir"",""Projectors/BenQ/BenQ_TH671ST.ir"",""VCR/Fisher/RVR-4000.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
SUBTITLE,816,"[""DVB-T/Tilview/TILVIEW_DVB-T_2.ir"",""DVD_Players/Strato/Strato_DVD507.ir"",""_Converted_/CSV/A/ABIT/DVD_WINDVD/1_-1.ir"",""_Converted_/CSV/A/Acer/Unknown_AT3201W/97_99.ir"",""_Converted_/CSV/A/Acer/Unknown_RC-802/16_37.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
Up,810,"[""ACs/Amcor/Amcor_AC.ir"",""ACs/Argo/Argo_zelos.ir"",""ACs/Carrier/Carrier_orlen_ac.ir"",""ACs/Ecofort/Ecofort_CoolAir_7+_EQCA7+2900824.ir"",""ACs/Emerson/Emerson_EARC8RE1_ac.ir""]",direction_up,0.55,nome depende do contexto do controle; alias versionado corresponde a direction_up,True
NEXT,794,"[""Audio_and_Video_Receivers/Pyle/Pyle_P2203ABTU.ir"",""CD_Players/Denon/Denon_RC_1199.ir"",""CD_Players/Unknown/Unkown_KC-806.ir"",""Cable_Boxes/EVO/EVO4.ir"",""Cable_Boxes/Mag/Mag_TVbox_Remote.ir""]",next,0.99,alias versionado corresponde a next,False
Down,792,"[""ACs/Amcor/Amcor_AC.ir"",""ACs/Argo/Argo_zelos.ir"",""ACs/Ecofort/Ecofort_CoolAir_7+_EQCA7+2900824.ir"",""ACs/Emerson/Emerson_EARC8RE1_ac.ir"",""ACs/Ferroli/Ferroli.ir""]",direction_down,0.55,nome depende do contexto do controle; alias versionado corresponde a direction_down,True
B,777,"[""Blu-Ray/LG/LG_AKB73495301.ir"",""Blu-Ray/LG/LG_AKB73775801.ir"",""Blu-Ray/Samsung/Samsung_B59-01301A.ir"",""Blu-Ray/Sanyo/Sanyo_Bluray_NC088.ir"",""Cable_Boxes/ARRIS/Arris.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
Left,765,"[""Audio_and_Video_Receivers/Aiwa/AIWA_XR-EM300.ir"",""Audio_and_Video_Receivers/CambridgeAudio/CambridgeAudio_650A.ir"",""Audio_and_Video_Receivers/Denon/Denon_AVR-2113CI_Main.ir"",""Audio_and_Video_Receivers/Denon/Denon_AVR-2113CI_Zone_2.ir"",""Audio_and_Video_Receivers/Denon/Denon_RC1253.ir""]",direction_left,0.55,nome depende do contexto do controle; alias versionado corresponde a direction_left,True
