record_id,source_path,priority,reasons,original
b4acc3e3539d68b1,inventory.csv#7867,high,"[""categoria ambígua ou ausente"",""classificação abaixo do limiar automático ou conflitante"",""marca ambígua ou ausente""]","{""brand"":""Unknown"",""category"":""LED_Lighting"",""command_names"":[],""model"":""DMX_Light""}"
c7707a86efe15765,inventory.csv#7868,high,"[""categoria ambígua ou ausente"",""classificação abaixo do limiar automático ou conflitante"",""marca ambígua ou ausente""]","{""brand"":""Unknown"",""category"":""LED_Lighting"",""command_names"":[],""model"":""Generic_LED_light_strip""}"
7513d1509f99fe19,inventory.csv#7869,high,"[""categoria ambígua ou ausente"",""classificação abaixo do limiar automático ou conflitante"",""marca ambígua ou ausente""]","{""brand"":""Unknown"",""category"":""LED_Lighting"",""command_names"":[],""model"":""LED_44Key""}"
10a6167afbe65f1c,inventory.csv#7870,high,"[""categoria ambígua ou ausente"",""classificação abaixo do limiar automático ou conflitante"",""marca ambígua ou ausente""]","{""brand"":""Unknown"",""category"":""LED_Lighting"",""command_names"":[],""model"":""LED_Cat""}"
451829fd8217d93c,inventory.csv#7871,high,"[""categoria ambígua ou ausente"",""classificação abaixo do limiar automático ou conflitante"",""marca ambígua ou ausente""]","{""brand"":""Unknown"",""category"":""LED_Lighting"",""command_names"":[],""model"":""LED_Curtain""}"
89995b843d704a04,inventory.csv#7872,high,"[""categoria ambígua ou ausente"",""classificação abaixo do limiar automático ou conflitante"",""marca ambígua ou ausente""]","{""brand"":""Unknown"",""category"":""LED_Lighting"",""command_names"":[],""model"":""LED_Disco_Light""}"
a94de07b45122f94,inventory.csv#7873,high,"[""categoria ambígua ou ausente"",""classificação abaixo do limiar automático ou conflitante"",""marca ambígua ou ausente""]","{""brand"":""Unknown"",""category"":""LED_Lighting"",""command_names"":[],""model"":""LED_Generic""}"
542be31f4a071142,inventory.csv#7874,high,"[""categoria ambígua ou ausente"",""classificação abaixo do limiar automático ou conflitante"",""marca ambígua ou ausente""]","{""brand"":""Unknown"",""category"":""LED_Lighting"",""command_names"":[],""model"":""LED_Lightbar""}"
cece59ad39828d5e,inventory.csv#7875,high,"[""categoria ambígua ou ausente"",""classificação abaixo do limiar automático ou conflitante"",""marca ambígua ou ausente""]","{""brand"":""Unknown"",""category"":""LED_Lighting"",""command_names"":[],""model"":""Led_Remote""}"
35374392c0235efb,inventory.csv#7876,high,"[""categoria ambígua ou ausente"",""classificação abaixo do limiar automático ou conflitante"",""marca ambígua ou ausente""]","{""brand"":""Unknown"",""category"":""LED_Lighting"",""command_names"":[],""model"":""LED_RGB""}"
ba0b4cbe415d8963,inventory.csv#7877,high,"[""categoria ambígua ou ausente"",""classificação abaixo do limiar automático ou conflitante"",""marca ambígua ou ausente""]","{""brand"":""Unknown"",""category"":""LED_Lighting"",""command_names"":[],""model"":""LED_Sign""}"
cd69e7723c62e582,inventory.csv#7878,high,"[""categoria ambígua ou ausente"",""classificação abaixo do limiar automático ou conflitante"",""marca ambígua ou ausente""]","{""brand"":""Unknown"",""category"":""LED_Lighting"",""command_names"":[],""model"":""LEDStrip""}"
c1d07f250a6a3fec,inventory.csv#7879,high,"[""categoria ambígua ou ausente"",""classificação abaixo do limiar automático ou conflitante"",""marca ambígua ou ausente""]","{""brand"":""Unknown"",""category"":""LED_Lighting"",""command_names"":[],""model"":""Light_Strip""}"
22704d0a8be60c2e,inventory.csv#7880,high,"[""categoria ambígua ou ausente"",""classificação abaixo do limiar automático ou conflitante"",""marca ambígua ou ausente""]","{""brand"":""Unknown"",""category"":""LED_Lighting"",""command_names"":[],""model"":""Magic_Lighting_Remote""}"
d4dba5e25e286d62,inventory.csv#7881,high,"[""categoria ambígua ou ausente"",""classificação abaixo do limiar automático ou conflitante"",""marca ambígua ou ausente""]","{""brand"":""Unknown"",""category"":""LED_Lighting"",""command_names"":[],""model"":""mlambert_rope_light""}"
