record_id,source_path,classification,suggested_device_type,device_type_confidence,confidence,reasons,conflicts,requires_review
ab865f593f93ddd9,inventory.csv#5632,specific_device,,0.0,0.72,"[""modelo identificável e conjunto coerente""]",[],True
23777135ff3faeae,inventory.csv#5633,specific_device,,0.0,0.72,"[""modelo identificável e conjunto coerente""]",[],True
153d8a20694ae05a,inventory.csv#5634,specific_device,,0.0,0.72,"[""modelo identificável e conjunto coerente""]",[],True
761089b97f866a0f,inventory.csv#5635,specific_device,,0.0,0.72,"[""modelo identificável e conjunto coerente""]",[],True
f13e37df01404593,inventory.csv#5636,specific_device,,0.0,0.72,"[""modelo identificável e conjunto coerente""]",[],True
071a1dece03ac968,inventory.csv#5637,specific_device,,0.0,0.72,"[""modelo identificável e conjunto coerente""]",[],True
99bf1db08e749ce9,inventory.csv#5638,specific_device,,0.0,0.72,"[""modelo identificável e conjunto coerente""]",[],True
f274b279c17b41e6,inventory.csv#5639,specific_device,,0.0,0.72,"[""modelo identificável e conjunto coerente""]",[],True
14fdbb45a6818168,inventory.csv#564,device_family,,0.0,0.58,"[""modelo/família identificável com conjunto amplo""]",[],True
b016c28c6d2e018a,inventory.csv#5640,specific_device,,0.0,0.72,"[""modelo identificável e conjunto coerente""]",[],True
bf1ad5f5f211fb4b,inventory.csv#5641,specific_device,,0.0,0.72,"[""modelo identificável e conjunto coerente""]",[],True
15ae2780451e7f3c,inventory.csv#5642,specific_device,,0.0,0.72,"[""modelo identificável e conjunto coerente""]",[],True
c4f2c41d6274e54e,inventory.csv#5643,specific_device,,0.0,0.72,"[""modelo identificável e conjunto coerente""]",[],True
77ce20cfd18591e3,inventory.csv#5644,specific_device,,0.0,0.72,"[""modelo identificável e conjunto coerente""]",[],True
f81678fdcd1eaaf3,inventory.csv#5645,specific_device,,0.0,0.72,"[""modelo identificável e conjunto coerente""]",[],True
f26000336caa09fa,inventory.csv#5646,specific_device,,0.0,0.72,"[""modelo identificável e conjunto coerente""]",[],True
3b58a1885f78fe82,inventory.csv#5647,specific_device,,0.0,0.72,"[""modelo identificável e conjunto coerente""]",[],True
556e1b2a49370f27,inventory.csv#5648,specific_device,,0.0,0.72,"[""modelo identificável e conjunto coerente""]",[],True
9fcb4ae200102dfe,inventory.csv#5649,specific_device,,0.0,0.72,"[""modelo identificável e conjunto coerente""]",[],True
8a12c44565c95553,inventory.csv#565,specific_device,,0.0,0.72,"[""modelo identificável e conjunto coerente""]",[],True
b0e8193eedd9e561,inventory.csv#5650,specific_device,,0.0,0.72,"[""modelo identificável e conjunto coerente""]",[],True
3c9024db5c3f232e,inventory.csv#5651,specific_device,,0.0,0.72,"[""modelo identificável e conjunto coerente""]",[],True
72cb0afbd804ab9b,inventory.csv#5652,specific_device,,0.0,0.72,"[""modelo identificável e conjunto coerente""]",[],True
e2e6a1c3309a4ee7,inventory.csv#5653,specific_device,,0.0,0.72,"[""modelo identificável e conjunto coerente""]",[],True
c6e3f383ef520a3c,inventory.csv#5654,specific_device,,0.0,0.72,"[""modelo identificável e conjunto coerente""]",[],True
5a3fefcd5d50fd05,inventory.csv#5655,specific_device,,0.0,0.72,"[""modelo identificável e conjunto coerente""]",[],True
eeb191407c0015d0,inventory.csv#5656,specific_device,,0.0,0.72,"[""modelo identificável e conjunto coerente""]",[],True
3ec1e84559a0ae97,inventory.csv#5657,specific_device,,0.0,0.72,"[""modelo identificável e conjunto coerente""]",[],True
77b1da81d60b8939,inventory.csv#5658,specific_device,,0.0,0.72,"[""modelo identificável e conjunto coerente""]",[],True
0e53e4a9de9a2c9b,inventory.csv#5659,specific_device,,0.0,0.72,"[""modelo identificável e conjunto coerente""]",[],True
933c1d8ef436e5db,inventory.csv#566,specific_device,,0.0,0.72,"[""modelo identificável e conjunto coerente""]",[],True
d4a0d40bea205cbb,inventory.csv#5660,specific_device,,0.0,0.72,"[""modelo identificável e conjunto coerente""]",[],True
97a0561d7240a560,inventory.csv#5661,specific_device,,0.0,0.72,"[""modelo identificável e conjunto coerente""]",[],True
0fbcb977277bca48,inventory.csv#5662,specific_device,,0.0,0.72,"[""modelo identificável e conjunto coerente""]",[],True
97abed7d96a0a29c,inventory.csv#5663,specific_device,,0.0,0.72,"[""modelo identificável e conjunto coerente""]",[],True
f3ea22a8c0e41e9c,inventory.csv#5664,specific_device,,0.0,0.72,"[""modelo identificável e conjunto coerente""]",[],True
6187cb1c414a8130,inventory.csv#5665,specific_device,,0.0,0.72,"[""modelo identificável e conjunto coerente""]",[],True
b926ce6872f12c0f,inventory.csv#5666,specific_device,,0.0,0.72,"[""modelo identificável e conjunto coerente""]",[],True
67e9e3904220eb2d,inventory.csv#5667,specific_device,,0.0,0.72,"[""modelo identificável e conjunto coerente""]",[],True
2dc96cd2c9a4eed1,inventory.csv#5668,specific_device,,0.0,0.72,"[""modelo identificável e conjunto coerente""]",[],True
463fd2931f727050,inventory.csv#5669,specific_device,,0.0,0.72,"[""modelo identificável e conjunto coerente""]",[],True
b060381c1b06d6a4,inventory.csv#567,specific_device,,0.0,0.72,"[""modelo identificável e conjunto coerente""]",[],True
1dda859731fcd5a8,inventory.csv#5670,specific_device,,0.0,0.72,"[""modelo identificável e conjunto coerente""]",[],True
855b2d2fce6b5527,inventory.csv#5671,specific_device,,0.0,0.72,"[""modelo identificável e conjunto coerente""]",[],True
0f0eb4ec31cdb4f1,inventory.csv#5672,specific_device,,0.0,0.72,"[""modelo identificável e conjunto coerente""]",[],True
af4172eeb5ab34f2,inventory.csv#5673,specific_device,,0.0,0.72,"[""modelo identificável e conjunto coerente""]",[],True
afec6dd00b03cebe,inventory.csv#5674,specific_device,,0.0,0.72,"[""modelo identificável e conjunto coerente""]",[],True
8f1ec0d793a7fde7,inventory.csv#5675,specific_device,,0.0,0.72,"[""modelo identificável e conjunto coerente""]",[],True
